CGC-11047	Carboplatin	Cisplatin	GSK1070916	GSK1120212	GSK461364	Geldanamycin	Oxaliplatin	PF-3084014	PF-3814735	PF-4691502	Paclitaxel
CAMA1	0	0	0	0	0	0	0	0	0	0	0	1
ZR751	0	0	0	0	0	0	0	1	1	0	1	0
HCC1419	1	0	0	0	1	0	0	0	0	0	1	0
184A1	0	1	1	1	1	0	1	1	1	0	1	0
HCC1428	0	0	0	0	0	0	0	0	0	0	0	0
SUM52PE	1	1	1	1	1	1	1	1	1	1	1	1
SUM149PT	1	1	1	0	1	1	1	1	1	1	1	1
MDAMB134VI	0	0	0	0	1	1	1	0	0	0	0	1
HCC70	1	1	1	1	1	1	0	1	1	0	1	1
SUM1315MO2	0	1	1	1	1	1	1	0	1	1	1	1
HCC2185	0	1	1	1	0	1	1	1	1	0	1	1
MDAMB453	1	0	1	0	1	1	1	1	0	0	0	1
HCC1806	0	1	1	0	1	1	0	1	0	0	0	1
SUM159PT	1	1	1	0	1	1	1	1	0	1	0	1
HCC1143	1	0	0	0	0	1	0	0	0	1	0	0
BT474	1	0	0	0	0	0	1	0	0	0	1	1
HCC1937	1	1	1	0	0	1	0	0	0	0	1	0
HS578T	1	0	1	1	1	1	0	0	0	1	0	1
HCC1395	1	1	1	0	1	1	0	0	0	1	1	0
T47D	1	0	1	0	0	0	1	1	1	0	1	1
MCF10F	0	1	1	0	1	1	1	1	0	1	0	1
MDAMB415	1	0	0	0	1	1	0	0	1	0	1	1
MDAMB175VII	0	1	1	0	1	0	1	1	1	0	1	0
ZR75B	0	0	0	1	0	0	0	1	0	1	1	0
SUM185PE	0	0	0	1	0	0	1	0	1	1	0	0
